User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
14858160,ucmerced,UC Merced is the newest campus of the University of California system and the first American research university built in the 21st century.,9094,478,21049,False,0,"5200 N. Lake Rd., Merced, CA",Wed May 21 16:12:17 +0000 2008,
957710354,MarylandOnBTN,"#BigTen basketball, football & more sports info for Maryland Terrapin fans from @BigTenNetwork. Terps video: https://t.co/mMfyeEnhbc #B1G #Big10 #FearTheTurtle",8543,116,9415,False,0,"Chicago, IL (via College Park)",Mon Nov 19 15:59:27 +0000 2012,#BigTen #B1G #Big10 #FearTheTurtle
2207592050,LevinsReports,Reporter at NBC Charlotte @WCNC. Creator of @unbrokenthepod. Story ideas/tell me how much you hated my outfit today: slevins@wcnc.com,8321,1847,4878,False,0,"Charlotte, NC",Thu Nov 21 18:06:46 +0000 2013,
14770470,DarcyBurner,Practical progressive rabble rouser. Incorrigibly curious geek. American manufacturer. Reverse engineering power for the sake of populism since 2004.,9333,3570,6601,False,0,Carnation WA,Wed May 14 07:35:50 +0000 2008,
6819732,NAHJ,National Association of Hispanic Journalists/Asociación Nacional de Periodistas Hispanos Estamos aquí putting #MoreLatinosInNews.,28405,10527,28552,False,0,"Washington, DC",Thu Jun 14 20:37:24 +0000 2007,#MoreLatinosInNews
24740039,Dictionarycom,"The official Twitter feed for https://t.co/OqmH2k4max, the world's leading digital dictionary. Home to #WordOfTheDay and place to indulge your inner #WordNerd.",24032,219,370274,False,0,"Oakland, CA",Mon Mar 16 18:20:11 +0000 2009,#WordOfTheDay #WordNerd
4371859758,neuralgae,Flotsam and jetsam from the neural driftnets. A bot by @bombinans,7164,1,54,False,1,the loss layer,Fri Nov 27 00:13:05 +0000 2015,
5780882,Ethan_Lindsey,A screaming comes across the sky. | Married to @batlinds. | Father. | #gobears | elindsey@kqed.org,13709,1396,1880,False,0,"ÜT: 34.021905,-118.383707",Sat May 05 03:20:52 +0000 2007,#gobears
966639350581792768,Moondogbot,"Bot en l'honneur de Louis ""Moondog"" Thomas Hardin, compositeur et musicien américain. Aphorismes, chansons et apostrophes antispécistes à intervalles réguliers.",3700,0,2,False,1,"Manhattan, NY",Thu Feb 22 11:42:35 +0000 2018,
111220552,johnkriesel,"Husband, Wounded Veteran, @PowerTripKFAN contributor, co-author of 'Still Standing', motivational speaker and former MN State Rep. IG: johnkriesel",61769,374,38101,False,0,"Minneapolis/St. Paul, MN",Thu Feb 04 05:15:40 +0000 2010,
196168350,AnnCoulter,Author.,43014,1061,2139554,False,0,Los Angeles/NYC,Tue Sep 28 14:04:51 +0000 2010,
23431221,seth_leitman,🍃@GreenLivingGuy® 🚙#EV expert 🌲Green Living Guru  🌿@GreenGuruGuides with @TAB_DIY 💚Run @DriveEVHV.  🔋So @buildyourownev. Seen on TV! Videos on my site!,48561,16102,62287,False,0,Worldwide,Mon Mar 09 12:55:06 +0000 2009,#EV
1470250544,globalnation,#globalnation Immigration desk @pritheworld. This account is about you https://t.co/fhffRSOgFz Hosted by @indraekmanis,28674,637,2616,False,0,,Thu May 30 17:22:38 +0000 2013,#globalnation
1013226126804701184,realfestivals,bot by @ryantouk // powered by @Wordnik and @Wikipedia,1326,7,6,False,1,,Sun Jul 01 01:01:48 +0000 2018,
258338711,andreactually,Unapologetic Storyteller . Queer Cubana . Tar Heel . Comms @NCLRights . Author . Co-founder @endrapeoncampus .,19903,4457,10617,False,0,Piscataway Lands (DC),Sun Feb 27 14:02:13 +0000 2011,
3293810833,___graveyard,a bot that creates small graveyards for the internet at rest ⩍ made by @voifd ⩍ #botALLY,111157,4,41,False,1,,Sat Jul 25 22:34:00 +0000 2015,#botALLY
