User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
4468081633,account,profile,9281,1071,3752,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
2156167098,account,profile,63928,880,17373,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
930336259,account,profile,2645,670,800,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
706568743472619520,account,profile,2331,2,78,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
821782476515409920,account,profile,4106,209,251123,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
3332092654,account,profile,15572,1,716,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
127907048,account,profile,9072,521,11197,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
1044520167173214208,account,profile,11743,13,2,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
588551732,account,profile,16659,483,3283,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
4190852728,account,profile,31079,390,763,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
1686873912,account,profile,4338,1769,960,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
1952084330,account,profile,1297,155,497,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
1008941459834204161,account,profile,1393,0,11,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
981566796011622401,account,profile,2546,775,213,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
798196450517651456,account,profile,3313,1,57,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
2697486960,account,profile,1340,1,207,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
2431021303,account,profile,8631,10,106,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
1132012321,account,profile,2219,1086,22250,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
1107178933,account,profile,14280,686,16830,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
873758396452753409,account,profile,1625,4,8,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
881278603257937920,account,profile,5503,0,3,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
2768807890,account,profile,13410,933,5087,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
